ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
18,2,VN368,3.9,2024-10-29,"客户ID: VN368
客户公司: 诺依曼软件网络有限公司信息技术
客户所在地: 银川市, 中国
产品信息: 谷歌 智能空调 Basic (类别: 智能空调)
生产商: 谷歌智能设备
产品价格: 9735.61
评分: 3.9星
评价日期: 2024年10月29日
评价内容: ""我发现，这款智能空调总体来说还可以。高清画质设计得比较合理。最重要的是缺点是使用说明不清。期待下一代产品能有所改进。""",160,智能空调,谷歌 智能空调 Basic,诺依曼软件网络有限公司信息技术
24,10,QL111,2.9,2024-10-21,"客户ID: QL111
客户公司: 华成育卓科技有限公司电子商务
客户所在地: 建国市, 中国
产品信息: 松下 智能洗衣机 Elite (类别: 智能洗衣机)
生产商: 松下智能电器
产品价格: 1378.28
评分: 2.9星
评价日期: 2024年10月21日
评价内容: ""经过一段时间使用，这款智能洗衣机不推荐购买。使用不到一周就出现了损坏。已经申请退款了。""",146,智能洗衣机,松下 智能洗衣机 Elite,华成育卓科技有限公司电子商务
8,8,IU641,4.0,2024-10-08,"客户ID: IU641
客户公司: 南康传媒有限公司金融科技
客户所在地: 张家港市, 中国
产品信息: 松下 智能手环 Advanced (类别: 智能手环)
生产商: 松下智能电器
产品价格: 366.33
评分: 4.0星
评价日期: 2024年10月08日
评价内容: ""购买后，这款智能手环做工精细。并且在晚上睡前时表现尤为出色。和同价位其他产品相比更胜一筹。如果非要说缺点的话，说明书不够详细。对得起这个价格。""",171,智能手环,松下 智能手环 Advanced,南康传媒有限公司金融科技
4,1,TO179,1.2,2024-09-30,"客户ID: TO179
客户公司: 四通信息有限公司数字科技
客户所在地: 成都县, 中国
产品信息: 亚马逊 智能空气净化器 Pro (类别: 智能空气净化器)
生产商: 亚马逊智能科技
产品价格: 2339.08
评分: 1.2星
评价日期: 2024年09月30日
评价内容: ""使用一周后出现故障，价格偏高，售后服务也不好。""",130,智能空气净化器,亚马逊 智能空气净化器 Pro,四通信息有限公司数字科技
1,5,QL111,4.7,2024-09-09,"客户ID: QL111
客户公司: 华成育卓科技有限公司电子商务
客户所在地: 建国市, 中国
产品信息: 小米 智能冰箱 Elite (类别: 智能冰箱)
生产商: 小米智能家居
产品价格: 3425.86
评分: 4.7星
评价日期: 2024年09月09日
评价内容: ""这款智能冰箱的语音识别功能很实用，稳定性好。""",123,智能冰箱,小米 智能冰箱 Elite,华成育卓科技有限公司电子商务
9,10,OO472,1.9,2024-08-22,"客户ID: OO472
客户公司: 快讯传媒有限公司云计算
客户所在地: 欢县, 中国
产品信息: 松下 智能洗衣机 Elite (类别: 智能洗衣机)
生产商: 松下智能电器
产品价格: 1378.28
评分: 1.9星
评价日期: 2024年08月22日
评价内容: ""对这款智能洗衣机非常不满意，操作复杂，浪费钱。""",122,智能洗衣机,松下 智能洗衣机 Elite,快讯传媒有限公司云计算
21,5,UI658,4.2,2024-08-04,"客户ID: UI658
客户公司: 艾提科信传媒有限公司电子商务
客户所在地: 乌鲁木齐市, 中国
产品信息: 小米 智能冰箱 Elite (类别: 智能冰箱)
生产商: 小米智能家居
产品价格: 3425.86
评分: 4.2星
评价日期: 2024年08月04日
评价内容: ""这是我用过的最好的智能冰箱之一，反应灵敏，性价比很高。""",130,智能冰箱,小米 智能冰箱 Elite,艾提科信传媒有限公司电子商务
12,2,IX975,4.5,2024-06-16,"客户ID: IX975
客户公司: 晖来计算机信息有限公司物联网
客户所在地: 杨市, 中国
产品信息: 谷歌 智能空调 Basic (类别: 智能空调)
生产商: 谷歌智能设备
产品价格: 9735.61
评分: 4.5星
评价日期: 2024年06月16日
评价内容: ""非常满意这次购买，节能环保，送货也很快。""",120,智能空调,谷歌 智能空调 Basic,晖来计算机信息有限公司物联网
6,10,AO841,2.3,2024-05-30,"客户ID: AO841
客户公司: 华泰通安传媒有限公司网络安全
客户所在地: 兴城市, 中国
产品信息: 松下 智能洗衣机 Elite (类别: 智能洗衣机)
生产商: 松下智能电器
产品价格: 1378.28
评分: 2.3星
评价日期: 2024年05月30日
评价内容: ""使用一周后出现故障，耗电量大，售后服务也不好。""",126,智能洗衣机,松下 智能洗衣机 Elite,华泰通安传媒有限公司网络安全
16,8,AO841,5.0,2024-05-12,"客户ID: AO841
客户公司: 华泰通安传媒有限公司网络安全
客户所在地: 兴城市, 中国
产品信息: 松下 智能手环 Advanced (类别: 智能手环)
生产商: 松下智能电器
产品价格: 366.33
评分: 5.0星
评价日期: 2024年05月12日
评价内容: ""在做饭时时使用效果很好，特别是智能联动功能。""",123,智能手环,松下 智能手环 Advanced,华泰通安传媒有限公司网络安全
13,8,FU528,2.1,2024-03-01,"客户ID: FU528
客户公司: 银嘉科技有限公司区块链技术
客户所在地: 柳州县, 中国
产品信息: 松下 智能手环 Advanced (类别: 智能手环)
生产商: 松下智能电器
产品价格: 366.33
评分: 2.1星
评价日期: 2024年03月01日
评价内容: ""使用一周后出现故障，使用说明不清，售后服务也不好。""",125,智能手环,松下 智能手环 Advanced,银嘉科技有限公司区块链技术
15,6,QL111,1.6,2024-01-25,"客户ID: QL111
客户公司: 华成育卓科技有限公司电子商务
客户所在地: 建国市, 中国
产品信息: 西门子 智能冰箱 Elite (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 2969.73
评分: 1.6星
评价日期: 2024年01月25日
评价内容: ""使用一周后出现故障，耗电量大，售后服务也不好。""",126,智能冰箱,西门子 智能冰箱 Elite,华成育卓科技有限公司电子商务
22,7,LG805,3.0,2024-01-08,"客户ID: LG805
客户公司: 时刻传媒有限公司金融科技
客户所在地: 太原县, 中国
产品信息: 索尼 智能空气净化器 Advanced (类别: 智能空气净化器)
生产商: 索尼智能科技
产品价格: 9123.76
评分: 3.0星
评价日期: 2024年01月08日
评价内容: ""总体来说还行，节能环保，就是做工一般。""",124,智能空气净化器,索尼 智能空气净化器 Advanced,时刻传媒有限公司金融科技
17,8,VN368,3.5,2023-12-22,"客户ID: VN368
客户公司: 诺依曼软件网络有限公司信息技术
客户所在地: 银川市, 中国
产品信息: 松下 智能手环 Advanced (类别: 智能手环)
生产商: 松下智能电器
产品价格: 366.33
评分: 3.5星
评价日期: 2023年12月22日
评价内容: ""这款智能手环一般，外观漂亮，但是散热问题有点问题。""",127,智能手环,松下 智能手环 Advanced,诺依曼软件网络有限公司信息技术
10,2,EG347,1.5,2023-12-05,"客户ID: EG347
客户公司: 商软冠联信息有限公司移动应用开发
客户所在地: 佳县, 中国
产品信息: 谷歌 智能空调 Basic (类别: 智能空调)
生产商: 谷歌智能设备
产品价格: 9735.61
评分: 1.5星
评价日期: 2023年12月05日
评价内容: ""体验下来，这款智能空调不推荐购买。在做饭时时完全不能正常工作。唯一值得称赞的可能就是外观设计还不错。""",152,智能空调,谷歌 智能空调 Basic,商软冠联信息有限公司移动应用开发
23,8,TO179,4.1,2023-10-24,"客户ID: TO179
客户公司: 四通信息有限公司数字科技
客户所在地: 成都县, 中国
产品信息: 松下 智能手环 Advanced (类别: 智能手环)
生产商: 松下智能电器
产品价格: 366.33
评分: 4.1星
评价日期: 2023年10月24日
评价内容: ""在晚上睡前时使用效果很好，特别是智能联动功能。""",122,智能手环,松下 智能手环 Advanced,四通信息有限公司数字科技
7,3,EI607,2.1,2023-09-09,"客户ID: EI607
客户公司: 七喜网络有限公司信息技术
客户所在地: 秀华县, 中国
产品信息: 谷歌 智能门锁 Standard (类别: 智能门锁)
生产商: 谷歌智能设备
产品价格: 5457.18
评分: 2.1星
评价日期: 2023年09月09日
评价内容: ""不推荐这款智能门锁，续航时间短，很失望。""",119,智能门锁,谷歌 智能门锁 Standard,七喜网络有限公司信息技术
30,1,QL111,1.7,2023-08-19,"客户ID: QL111
客户公司: 华成育卓科技有限公司电子商务
客户所在地: 建国市, 中国
产品信息: 亚马逊 智能空气净化器 Pro (类别: 智能空气净化器)
生产商: 亚马逊智能科技
产品价格: 2339.08
评分: 1.7星
评价日期: 2023年08月19日
评价内容: ""这款产品有严重问题，使用说明不清，已经申请退款。""",133,智能空气净化器,亚马逊 智能空气净化器 Pro,华成育卓科技有限公司电子商务
